Date,Price,P/FCF,P/EBITDA,P/E,EV/EBITDA,P/S,P/B,EV/B,EV/FCF,LTDebt/EV
7/23/10,11.81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7248,8.6359,#N/A N/A,0
7/26/10,11.89,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7906,8.7017,#N/A N/A,0
7/27/10,11.9,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7989,8.7099,#N/A N/A,0
7/28/10,11.57,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.5271,8.4383,#N/A N/A,0
7/29/10,11.51,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.4777,8.3889,#N/A N/A,0
7/30/10,11.89,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7906,8.7017,#N/A N/A,0
8/2/10,11.78,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7001,8.6112,#N/A N/A,0
8/3/10,11.76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.6836,8.5947,#N/A N/A,0
8/4/10,11.83,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7412,8.6523,#N/A N/A,0
8/5/10,11.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.3872,8.2984,#N/A N/A,0
8/6/10,11.01,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.066,7.9774,#N/A N/A,0
8/9/10,11.31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.3131,8.2243,#N/A N/A,0
8/10/10,11.21,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.2307,8.142,#N/A N/A,0
8/11/10,10.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.8108,7.7223,#N/A N/A,0
8/12/10,11.45,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.4283,8.3396,#N/A N/A,0
8/13/10,10.58,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.7119,7.6235,#N/A N/A,0
8/16/10,10.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.8108,7.7268,#N/A N/A,0
8/17/10,10.81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.9013,7.8174,#N/A N/A,0
8/18/10,10.65,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.7696,7.6856,#N/A N/A,0
8/19/10,10.29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.4731,7.3892,#N/A N/A,0
8/20/10,10.38,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.5473,7.4633,#N/A N/A,0
8/23/10,9.89,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.1438,7.0598,#N/A N/A,0
8/24/10,9.52,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.8391,6.7551,#N/A N/A,0
8/25/10,9.68,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.9709,6.8869,#N/A N/A,0
8/26/10,9.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.6168,6.5328,#N/A N/A,0
8/27/10,9.65,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.9462,6.8622,#N/A N/A,0
8/30/10,9.59,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.8967,6.8128,#N/A N/A,0
8/31/10,9.41,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.7485,6.6646,#N/A N/A,0
9/1/10,9.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.1273,7.0433,#N/A N/A,0
9/2/10,10.46,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.6131,7.5292,#N/A N/A,0
9/3/10,10.89,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.9672,7.8832,#N/A N/A,0
9/7/10,10.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.3908,7.3068,#N/A N/A,0
9/8/10,10.37,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.539,7.4551,#N/A N/A,0
9/9/10,11.07,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.1154,8.0315,#N/A N/A,0
9/10/10,11.38,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.3707,8.2867,#N/A N/A,0
9/13/10,12.09,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.9553,8.8714,#N/A N/A,0
9/14/10,11.97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.8565,8.7726,#N/A N/A,0
9/15/10,12.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.9142,8.8302,#N/A N/A,0
9/16/10,11.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7742,8.6902,#N/A N/A,0
9/17/10,11.43,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.4119,8.3279,#N/A N/A,0
9/20/10,11.88,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.7824,8.6984,#N/A N/A,0
9/21/10,11.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.453,8.3691,#N/A N/A,0
9/22/10,11.42,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.4036,8.3197,#N/A N/A,0
9/23/10,11.03,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.0825,7.9985,#N/A N/A,0
9/24/10,11.17,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.1978,8.1138,#N/A N/A,0
9/27/10,10.61,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.7366,7.6527,#N/A N/A,0
9/28/10,10.81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.9013,7.8174,#N/A N/A,0
9/29/10,11.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.0907,8.0068,#N/A N/A,0
