date,_TYPE_,_FREQ_,total_volume
12/01/2005,1,100,48764
12/02/2005,1,100,88133
12/05/2005,1,78,101487
12/06/2005,1,89,77192
12/07/2005,1,97,59717
12/08/2005,1,104,79268
12/09/2005,1,103,65695
12/12/2005,1,128,47885
12/13/2005,1,119,73479
12/14/2005,1,101,124455
12/15/2005,1,127,100683
12/16/2005,1,96,132586
12/19/2005,1,91,164736
12/20/2005,1,104,28944
12/21/2005,1,91,58302
12/22/2005,1,74,25588
12/23/2005,1,83,22461
12/27/2005,1,101,60812
12/28/2005,1,81,36215
12/29/2005,1,89,45597
12/30/2005,1,94,100032
01/03/2006,1,112,76951
01/04/2006,1,81,105665
01/05/2006,1,68,34135
01/06/2006,1,109,112313
01/09/2006,1,87,74804
01/10/2006,1,85,77714
01/11/2006,1,80,76005
01/12/2006,1,81,51839
01/13/2006,1,70,61111
01/17/2006,1,84,85834
01/18/2006,1,86,118532
01/19/2006,1,79,84722
01/20/2006,1,136,267409
01/23/2006,1,105,69493
01/24/2006,1,109,84322
01/25/2006,1,121,91200
01/26/2006,1,90,65789
01/27/2006,1,108,69142
01/30/2006,1,95,29679
01/31/2006,1,101,135738
02/01/2006,1,91,79808
02/02/2006,1,96,120103
02/03/2006,1,121,154919
02/06/2006,1,86,67313
02/07/2006,1,105,169751
02/08/2006,1,97,70626
02/09/2006,1,96,91990
02/10/2006,1,110,91535
02/13/2006,1,99,176413
02/14/2006,1,104,156887
02/15/2006,1,110,124396
02/16/2006,1,110,95793
02/17/2006,1,125,134532
02/21/2006,1,127,102293
02/22/2006,1,117,74445
02/23/2006,1,116,51913
02/24/2006,1,109,49372
02/27/2006,1,107,81629
02/28/2006,1,103,111069
03/01/2006,1,110,152185
03/02/2006,1,102,77933
03/03/2006,1,112,70114
03/06/2006,1,100,97199
03/07/2006,1,110,96447
03/08/2006,1,105,132413
03/09/2006,1,126,125116
03/10/2006,1,106,107083
03/13/2006,1,119,55420
03/14/2006,1,119,212509
03/15/2006,1,117,115599
03/16/2006,1,122,145118
03/17/2006,1,132,98218
03/20/2006,1,134,71808
03/21/2006,1,128,117674
03/22/2006,1,106,89853
03/23/2006,1,92,56989
03/24/2006,1,80,105920
03/27/2006,1,73,47821
03/28/2006,1,111,133187
03/29/2006,1,104,86470
03/30/2006,1,102,186102
03/31/2006,1,74,91692
04/03/2006,1,103,144272
04/04/2006,1,99,111123
04/05/2006,1,109,121360
04/06/2006,1,107,145092
04/07/2006,1,131,156015
04/10/2006,1,102,69494
04/11/2006,1,146,288901
04/12/2006,1,93,100223
04/13/2006,1,108,126700
04/17/2006,1,118,169888
04/18/2006,1,131,164446
04/19/2006,1,122,115835
04/20/2006,1,112,111049
04/21/2006,1,116,154811
04/24/2006,1,118,79036
04/25/2006,1,120,91941
04/26/2006,1,101,55096
04/27/2006,1,134,116739
04/28/2006,1,115,86196
05/01/2006,1,125,131500
05/02/2006,1,105,59925
05/03/2006,1,103,66210
05/04/2006,1,98,41839
05/05/2006,1,136,138464
05/08/2006,1,107,61463
05/09/2006,1,89,47044
05/10/2006,1,101,134067
05/11/2006,1,122,247900
05/12/2006,1,154,275885
05/15/2006,1,155,235002
05/16/2006,1,104,172509
05/17/2006,1,179,563773
05/18/2006,1,168,379305
05/19/2006,1,220,518203
05/22/2006,1,197,260267
05/23/2006,1,162,177650
05/24/2006,1,190,220955
05/25/2006,1,134,147406
05/26/2006,1,147,124678
05/30/2006,1,171,152520
05/31/2006,1,144,154840
06/01/2006,1,145,164456
06/02/2006,1,149,185440
06/05/2006,1,154,187203
06/06/2006,1,195,248506
06/07/2006,1,165,187195
06/08/2006,1,209,357693
06/09/2006,1,179,126805
06/12/2006,1,183,184127
06/13/2006,1,231,489689
06/14/2006,1,221,262782
06/15/2006,1,190,332426
06/16/2006,1,158,249825
06/19/2006,1,178,210215
06/20/2006,1,143,140973
06/21/2006,1,168,208357
06/22/2006,1,129,272415
06/23/2006,1,143,94812
06/26/2006,1,99,63866
06/27/2006,1,130,128724
06/28/2006,1,135,83340
06/29/2006,1,152,268303
06/30/2006,1,126,194346
07/03/2006,1,86,46936
07/05/2006,1,121,161650
07/06/2006,1,106,79170
07/07/2006,1,121,85720
07/10/2006,1,108,91413
07/11/2006,1,101,183881
07/12/2006,1,112,226706
07/13/2006,1,154,395783
07/14/2006,1,175,315563
07/17/2006,1,134,211413
07/18/2006,1,155,363390
07/19/2006,1,173,311993
07/20/2006,1,109,237682
07/21/2006,1,114,396503
07/24/2006,1,120,180656
07/25/2006,1,121,185831
07/26/2006,1,109,84271
07/27/2006,1,116,110141
07/28/2006,1,147,150272
07/31/2006,1,102,81675
08/01/2006,1,126,119323
08/02/2006,1,125,114273
08/03/2006,1,96,108088
08/04/2006,1,132,192500
08/07/2006,1,103,67937
08/08/2006,1,139,168904
08/09/2006,1,115,164774
08/10/2006,1,102,139634
08/11/2006,1,102,107902
08/14/2006,1,121,127747
08/15/2006,1,129,223513
08/16/2006,1,135,183759
08/17/2006,1,137,159084
08/18/2006,1,122,203780
08/21/2006,1,136,130661
08/22/2006,1,136,80746
08/23/2006,1,117,118015
08/24/2006,1,114,97028
08/25/2006,1,111,71849
08/28/2006,1,132,91816
08/29/2006,1,139,103594
08/30/2006,1,116,60856
08/31/2006,1,116,72795
09/01/2006,1,137,204155
09/05/2006,1,129,220640
09/06/2006,1,124,193051
09/07/2006,1,136,124801
09/08/2006,1,119,70853
09/11/2006,1,145,185355
09/12/2006,1,133,245557
09/13/2006,1,144,127886
09/14/2006,1,120,158124
09/15/2006,1,148,206992
09/18/2006,1,134,123996
09/19/2006,1,133,380814
09/20/2006,1,164,150677
09/21/2006,1,127,109871
09/22/2006,1,122,123309
09/25/2006,1,117,117191
09/26/2006,1,122,183762
09/27/2006,1,150,141471
09/28/2006,1,95,107340
09/29/2006,1,95,51503
10/02/2006,1,105,97704
10/03/2006,1,120,248089
10/04/2006,1,130,206875
10/05/2006,1,114,388262
10/06/2006,1,91,125699
10/09/2006,1,95,104236
10/10/2006,1,112,122861
10/11/2006,1,103,146804
