date,_TYPE_,_FREQ_,total_volume
12/01/2005,1,124,71599
12/02/2005,1,119,75424
12/05/2005,1,87,74299
12/06/2005,1,134,72280
12/07/2005,1,110,62837
12/08/2005,1,103,62362
12/09/2005,1,96,89953
12/12/2005,1,75,40437
12/13/2005,1,114,101439
12/14/2005,1,136,153087
12/15/2005,1,140,1589352
12/16/2005,1,162,125440
12/19/2005,1,104,46034
12/20/2005,1,91,35090
12/21/2005,1,81,31687
12/22/2005,1,94,22683
12/23/2005,1,68,39393
12/27/2005,1,123,43417
12/28/2005,1,66,43358
12/29/2005,1,92,34752
12/30/2005,1,128,85696
01/03/2006,1,157,94812
01/04/2006,1,110,54332
01/05/2006,1,99,22123
01/06/2006,1,128,83902
01/09/2006,1,102,38577
01/10/2006,1,127,39112
01/11/2006,1,97,62947
01/12/2006,1,92,28390
01/13/2006,1,104,32461
01/17/2006,1,106,46295
01/18/2006,1,111,49078
01/19/2006,1,87,47078
01/20/2006,1,140,159879
01/23/2006,1,113,40101
01/24/2006,1,115,55374
01/25/2006,1,121,58718
01/26/2006,1,84,36944
01/27/2006,1,104,53159
01/30/2006,1,96,20522
01/31/2006,1,128,56624
02/01/2006,1,83,36303
02/02/2006,1,111,46143
02/03/2006,1,109,97198
02/06/2006,1,95,38944
02/07/2006,1,143,82528
02/08/2006,1,104,63272
02/09/2006,1,91,51794
02/10/2006,1,100,126242
02/13/2006,1,106,60948
02/14/2006,1,114,89460
02/15/2006,1,195,95362
02/16/2006,1,108,102876
02/17/2006,1,95,91292
02/21/2006,1,151,85299
02/22/2006,1,111,83721
02/23/2006,1,92,32900
02/24/2006,1,80,34258
02/27/2006,1,122,59286
02/28/2006,1,131,61248
03/01/2006,1,104,79496
03/02/2006,1,84,42318
03/03/2006,1,101,81361
03/06/2006,1,106,32974
03/07/2006,1,154,88492
03/08/2006,1,99,56730
03/09/2006,1,112,32523
03/10/2006,1,97,39938
03/13/2006,1,123,32873
03/14/2006,1,111,88528
03/15/2006,1,110,96068
03/16/2006,1,159,3583044
03/17/2006,1,114,63067
03/20/2006,1,125,56045
03/21/2006,1,160,75736
03/22/2006,1,101,25656
03/23/2006,1,90,41070
03/24/2006,1,78,36284
03/27/2006,1,80,32594
03/28/2006,1,116,56711
03/29/2006,1,94,42562
03/30/2006,1,118,47654
03/31/2006,1,73,43227
04/03/2006,1,92,35142
04/04/2006,1,86,27094
04/05/2006,1,87,45338
04/06/2006,1,124,86293
04/07/2006,1,128,55305
04/10/2006,1,83,18310
04/11/2006,1,141,67488
04/12/2006,1,102,74364
04/13/2006,1,111,39645
04/17/2006,1,105,54278
04/18/2006,1,166,76252
04/19/2006,1,110,53787
04/20/2006,1,115,45177
04/21/2006,1,108,123695
04/24/2006,1,89,39781
04/25/2006,1,137,57457
04/26/2006,1,131,43402
04/27/2006,1,108,77189
04/28/2006,1,66,16562
05/01/2006,1,103,45176
05/02/2006,1,111,32279
05/03/2006,1,104,26404
05/04/2006,1,86,19383
05/05/2006,1,113,34077
05/08/2006,1,79,24125
05/09/2006,1,85,36628
05/10/2006,1,98,72121
05/11/2006,1,120,112869
05/12/2006,1,123,76479
05/15/2006,1,126,127085
05/16/2006,1,93,86122
05/17/2006,1,163,171567
05/18/2006,1,138,278639
05/19/2006,1,180,211004
05/22/2006,1,188,184214
05/23/2006,1,148,87962
05/24/2006,1,168,153124
05/25/2006,1,120,89200
05/26/2006,1,109,51257
05/30/2006,1,124,72585
05/31/2006,1,110,64582
06/01/2006,1,120,67826
06/02/2006,1,108,67845
06/05/2006,1,132,69307
06/06/2006,1,163,113331
06/07/2006,1,136,87094
06/08/2006,1,199,217284
06/09/2006,1,136,76724
06/12/2006,1,142,88703
06/13/2006,1,185,235158
06/14/2006,1,175,153997
06/15/2006,1,189,943099
06/16/2006,1,136,154704
06/19/2006,1,162,77845
06/20/2006,1,154,83510
06/21/2006,1,170,105409
06/22/2006,1,116,50900
06/23/2006,1,136,61507
06/26/2006,1,96,98218
06/27/2006,1,111,47094
06/28/2006,1,131,51817
06/29/2006,1,137,109381
06/30/2006,1,101,66710
07/03/2006,1,85,29423
07/05/2006,1,108,46886
07/06/2006,1,108,67794
07/07/2006,1,143,62542
07/10/2006,1,109,43815
07/11/2006,1,105,59644
07/12/2006,1,116,55789
07/13/2006,1,129,153483
07/14/2006,1,145,125509
07/17/2006,1,119,88833
07/18/2006,1,119,133654
07/19/2006,1,146,218639
07/20/2006,1,88,83270
07/21/2006,1,106,98655
07/24/2006,1,104,97693
07/25/2006,1,108,86345
07/26/2006,1,93,64906
07/27/2006,1,105,51916
07/28/2006,1,133,85169
07/31/2006,1,74,84987
08/01/2006,1,99,70105
08/02/2006,1,92,44184
08/03/2006,1,98,75450
08/04/2006,1,115,54157
08/07/2006,1,84,56616
08/08/2006,1,102,69795
08/09/2006,1,90,67000
08/10/2006,1,100,109476
08/11/2006,1,92,53216
08/14/2006,1,88,57181
08/15/2006,1,99,81933
08/16/2006,1,113,82006
08/17/2006,1,131,76306
08/18/2006,1,104,131016
08/21/2006,1,107,42646
08/22/2006,1,154,63887
08/23/2006,1,91,62559
08/24/2006,1,96,79117
08/25/2006,1,69,39557
08/28/2006,1,111,69210
08/29/2006,1,116,64291
08/30/2006,1,115,34299
08/31/2006,1,111,70202
09/01/2006,1,152,76467
09/05/2006,1,106,53612
09/06/2006,1,110,63334
09/07/2006,1,102,75060
09/08/2006,1,93,54483
09/11/2006,1,138,134718
09/12/2006,1,111,77487
09/13/2006,1,121,156094
09/14/2006,1,132,1760513
09/15/2006,1,130,175677
09/18/2006,1,117,94628
09/19/2006,1,134,234897
09/20/2006,1,183,78909
09/21/2006,1,93,68241
09/22/2006,1,81,49726
09/25/2006,1,86,45659
09/26/2006,1,86,59612
09/27/2006,1,144,70096
09/28/2006,1,83,31080
09/29/2006,1,95,25093
10/02/2006,1,88,39885
10/03/2006,1,94,137902
10/04/2006,1,119,77383
10/05/2006,1,106,362742
10/06/2006,1,103,39426
10/09/2006,1,93,34443
10/10/2006,1,120,53054
10/11/2006,1,107,72879
10/12/2006,1,109,90266
10/13/2006,1,102,107667
10/16/2006,1,106,61551
10/17/2006,1,104,117080
10/18/2006,1,126,124561
10/19/2006,1,95,72811
10/20/2006,1,104,68985
10/23/2006,1,147,100813
10/24/2006,1,107,68433
10/25/2006,1,111,78668
10/26/2006,1,126,81041
10/27/2006,1,126,87997
10/30/2006,1,99,47897
10/31/2006,1,110,121309
11/01/2006,1,127,98042
11/02/2006,1,103,32352
11/03/2006,1,113,43573
11/06/2006,1,108,43906
11/07/2006,1,93,49513
11/08/2006,1,111,61169
11/09/2006,1,91,39288
11/10/2006,1,74,37006
11/13/2006,1,104,39964
11/14/2006,1,120,98220
11/15/2006,1,127,185009
11/16/2006,1,124,101442
11/17/2006,1,115,128953
11/20/2006,1,116,46405
11/21/2006,1,122,50066
11/22/2006,1,102,43745
11/24/2006,1,94,23117
11/27/2006,1,175,108995
11/28/2006,1,122,59397
11/29/2006,1,109,61356
11/30/2006,1,107,49135
12/01/2006,1,114,68082
12/04/2006,1,147,58146
12/05/2006,1,139,75877
12/06/2006,1,131,42036
12/07/2006,1,120,57203
12/08/2006,1,116,46592
12/11/2006,1,110,41805
12/12/2006,1,105,80479
12/13/2006,1,107,80480
12/14/2006,1,147,811374
12/15/2006,1,150,67052
12/18/2006,1,102,33028
12/19/2006,1,108,55471
12/20/2006,1,81,35242
12/21/2006,1,91,38724
12/22/2006,1,99,48851
12/26/2006,1,82,25247
12/27/2006,1,92,34829
12/28/2006,1,96,21729
12/29/2006,1,95,45783
01/03/2007,1,130,82387
01/04/2007,1,108,64949
01/05/2007,1,118,61864
01/08/2007,1,102,62444
01/09/2007,1,129,107339
01/10/2007,1,115,64550
01/11/2007,1,109,79087
01/12/2007,1,98,55545
01/16/2007,1,91,97095
01/17/2007,1,96,84320
01/18/2007,1,102,57912
01/19/2007,1,103,112427
01/22/2007,1,104,51103
01/23/2007,1,107,52816
01/24/2007,1,101,75990
01/25/2007,1,126,71562
01/26/2007,1,115,73409
01/29/2007,1,85,53790
01/30/2007,1,80,32928
01/31/2007,1,126,79450
02/01/2007,1,95,53541
02/02/2007,1,79,49895
02/05/2007,1,100,47017
02/06/2007,1,79,46311
02/07/2007,1,103,57209
02/08/2007,1,90,45490
02/09/2007,1,95,67972
02/12/2007,1,76,73309
02/13/2007,1,93,60966
02/14/2007,1,117,107690
02/15/2007,1,100,55377
02/16/2007,1,110,55383
02/20/2007,1,100,48432
02/21/2007,1,77,22189
02/22/2007,1,103,46684
02/23/2007,1,95,30766
02/26/2007,1,120,44074
02/27/2007,1,252,262387
02/28/2007,1,224,190054
03/01/2007,1,178,231670
03/02/2007,1,155,120796
03/05/2007,1,171,196299
03/06/2007,1,141,192282
03/07/2007,1,157,148027
03/08/2007,1,138,137764
03/09/2007,1,137,121794
03/12/2007,1,112,83792
03/13/2007,1,154,185654
03/14/2007,1,192,278276
03/15/2007,1,180,1029237
03/16/2007,1,130,120090
03/19/2007,1,133,105538
03/20/2007,1,178,128606
03/21/2007,1,165,131609
03/22/2007,1,153,105396
03/23/2007,1,106,46153
03/26/2007,1,118,56263
03/27/2007,1,96,29549
03/28/2007,1,141,86652
03/29/2007,1,102,54346
03/30/2007,1,134,116857
04/02/2007,1,89,54356
04/03/2007,1,127,69421
04/04/2007,1,103,37624
04/05/2007,1,100,76025
04/09/2007,1,115,76586
04/10/2007,1,97,46546
04/11/2007,1,110,67790
04/12/2007,1,101,88595
04/13/2007,1,98,57405
04/16/2007,1,146,141450
04/17/2007,1,132,216950
04/18/2007,1,112,206519
04/19/2007,1,165,85771
04/20/2007,1,167,293749
04/23/2007,1,149,66012
04/24/2007,1,120,69753
04/25/2007,1,160,112784
04/26/2007,1,166,74027
04/27/2007,1,142,80098
04/30/2007,1,154,77231
05/01/2007,1,166,120941
05/02/2007,1,125,110402
05/03/2007,1,187,79059
05/04/2007,1,140,93768
05/07/2007,1,142,50699
05/08/2007,1,160,62539
05/09/2007,1,135,81732
05/10/2007,1,155,74369
05/11/2007,1,160,74892
05/14/2007,1,160,97559
05/15/2007,1,172,149552
05/16/2007,1,165,104342
05/17/2007,1,161,108638
05/18/2007,1,152,147068
05/21/2007,1,184,148713
05/22/2007,1,148,69421
05/23/2007,1,178,84071
05/24/2007,1,227,159574
05/25/2007,1,162,98086
05/29/2007,1,128,53847
05/30/2007,1,118,73339
05/31/2007,1,142,63186
06/01/2007,1,151,78898
06/04/2007,1,132,64277
06/05/2007,1,209,126074
06/06/2007,1,216,124823
06/07/2007,1,208,235393
06/08/2007,1,225,218310
06/11/2007,1,189,173680
06/12/2007,1,317,207673
06/13/2007,1,320,190734
