PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,RETX
14593,20000103,AAPL,APPLE COMPUTER INC,7,3783310,0.088754
14593,20000104,AAPL,APPLE COMPUTER INC,7,3783310,-0.08431
14593,20000105,AAPL,APPLE COMPUTER INC,7,3783310,0.014634
14593,20000106,AAPL,APPLE COMPUTER INC,7,3783310,-0.086538
14593,20000107,AAPL,APPLE COMPUTER INC,7,3783310,0.047368
14593,20000110,AAPL,APPLE COMPUTER INC,7,3783310,-0.017588
14593,20000111,AAPL,APPLE COMPUTER INC,7,3783310,-0.051151
14593,20000112,AAPL,APPLE COMPUTER INC,7,3783310,-0.059973
14593,20000113,AAPL,APPLE COMPUTER INC,7,3783310,0.109677
14593,20000114,AAPL,APPLE COMPUTER INC,7,3783310,0.038114
14593,20000118,AAPL,APPLE COMPUTER INC,7,3783310,0.034848
14593,20000119,AAPL,APPLE COMPUTER INC,7,3783310,0.025256
14593,20000120,AAPL,APPLE COMPUTER INC,7,3783310,0.065103
14593,20000121,AAPL,APPLE COMPUTER INC,7,3783310,-0.019273
14593,20000124,AAPL,APPLE COMPUTER INC,7,3783310,-0.04548
14593,20000125,AAPL,APPLE COMPUTER INC,7,3783310,0.056471
14593,20000126,AAPL,APPLE COMPUTER INC,7,3783310,-0.018374
14593,20000127,AAPL,APPLE COMPUTER INC,7,3783310,-0.001702
14593,20000128,AAPL,APPLE COMPUTER INC,7,3783310,-0.076136
14593,20000131,AAPL,APPLE COMPUTER INC,7,3783310,0.02091
14593,20000201,AAPL,APPLE COMPUTER INC,7,3783310,-0.033735
14593,20000202,AAPL,APPLE COMPUTER INC,7,3783310,-0.014339
14593,20000203,AAPL,APPLE COMPUTER INC,7,3783310,0.045541
14593,20000204,AAPL,APPLE COMPUTER INC,7,3783310,0.045372
14593,20000207,AAPL,APPLE COMPUTER INC,7,3783310,0.056134
14593,20000208,AAPL,APPLE COMPUTER INC,7,3783310,0.007123
14593,20000209,AAPL,APPLE COMPUTER INC,7,3783310,-0.019587
14593,20000210,AAPL,APPLE COMPUTER INC,7,3783310,0.007769
14593,20000211,AAPL,APPLE COMPUTER INC,7,3783310,-0.04185
14593,20000214,AAPL,APPLE COMPUTER INC,7,3783310,0.064943
14593,20000215,AAPL,APPLE COMPUTER INC,7,3783310,0.027523
14593,20000216,AAPL,APPLE COMPUTER INC,7,3783310,-0.040966
14593,20000217,AAPL,APPLE COMPUTER INC,7,3783310,0.006572
14593,20000218,AAPL,APPLE COMPUTER INC,7,3783310,-0.031556
14593,20000222,AAPL,APPLE COMPUTER INC,7,3783310,0.023034
14593,20000223,AAPL,APPLE COMPUTER INC,7,3783310,0.021417
14593,20000224,AAPL,APPLE COMPUTER INC,7,3783310,-0.009005
14593,20000225,AAPL,APPLE COMPUTER INC,7,3783310,-0.04191
14593,20000228,AAPL,APPLE COMPUTER INC,7,3783310,0.026048
14593,20000229,AAPL,APPLE COMPUTER INC,7,3783310,0.012141
14593,20000301,AAPL,APPLE COMPUTER INC,7,3783310,0.136859
14593,20000302,AAPL,APPLE COMPUTER INC,7,3783310,-0.063789
14593,20000303,AAPL,APPLE COMPUTER INC,7,3783310,0.04918
14593,20000306,AAPL,APPLE COMPUTER INC,7,3783310,-0.018066
14593,20000307,AAPL,APPLE COMPUTER INC,7,3783310,-0.022377
